date,ic
2017-01-31,-0.15489666467754754
2017-04-30,-0.16600681997766115
2017-07-31,-0.10114210261917297
2017-10-31,0.16015706080723813
2018-01-31,-0.008985282545578226
2018-04-30,0.09068804337948214
2018-07-31,-0.17097838280984917
2018-10-31,-0.02003562771197626
2019-01-31,0.022297586363244404
2019-04-30,-0.2539527999471266
2019-07-31,-0.1005938692708524
2019-10-31,-0.030555125701948533
2020-01-31,-0.21451540855065845
2020-04-30,-0.05438443686253339
2020-07-31,0.0743885914792523
2020-10-31,0.5239230608951181
2021-01-31,0.2820289608114065
2021-04-30,-0.08351833163373035
2021-07-31,0.010913361460065614
2021-10-31,-0.00016262210979617233
2022-01-31,-0.2250110182318867
2022-04-30,-0.06363048955445352
2022-07-31,-0.012669278035127594
2022-10-31,0.10525157082781297
2023-01-31,-0.19705239882228515
2023-04-30,0.2220074549429161
2023-07-31,-0.2915874128344681
2023-10-31,0.06517459548359157
2024-01-31,-0.011342166037950357
2024-04-30,-0.01860256260939508
2024-07-31,-0.11677116464064297
2024-10-31,0.01220215337810857
2025-01-31,-0.16432779167104192
2025-04-30,0.33910134980288276
2025-07-31,0.15443230298112526
2025-10-31,0.04184784582764434
