date,long_ret,short_ret,ls_ret,turnover_combined,cost_drag,ls_ret_net,long_ret_net
2015-01-31,0.10150548765536517,0.0398440005782972,0.06166148707706797,2.0,0.004,0.057661487077067974,0.09950548765536517
2015-04-30,-0.13153862343547748,0.030423011675549023,-0.16196163511102651,1.2083333333333335,0.0024166666666666672,-0.1643783017776932,-0.13253862343547748
2015-07-31,-0.025974984162274825,0.010047777897201134,-0.03602276205947596,1.3541666666666667,0.0027083333333333334,-0.03873109539280929,-0.02714165082894149
2015-10-31,-0.13436929801227598,-0.03535388438342201,-0.09901541362885397,1.3125,0.002625,-0.10164041362885397,-0.13566096467894265
2016-01-31,0.30259426342564255,0.1031193428891638,0.19947492053647875,1.1914893617021276,0.0023829787234042553,0.1970919418130745,0.30140277406394045
2016-04-30,0.03067337578933085,0.0615348111230677,-0.030861435333736847,1.2553191489361701,0.0025106382978723404,-0.033372073631609184,0.029566992810607446
2016-07-31,-0.006827744663866378,-0.017635049181263733,0.010807304517397354,1.4468085106382977,0.0028936170212765957,0.007913687496120758,-0.008317106365994038
2016-10-31,0.10931596035938285,0.06775339591757613,0.04156256444180671,1.0948581560283688,0.0021897163120567376,0.03937284812974998,0.10820957738065944
2017-01-31,-0.001582366205915791,0.045556641075152754,-0.04713900728106855,1.4680851063829787,0.0029361702127659577,-0.050075177493834507,-0.0029440683335753655
2017-04-30,-0.04988562339256214,0.08040704864297633,-0.13029267203553846,1.25,0.0025,-0.13279267203553846,-0.05117729005922881
2017-07-31,-0.04079135223690096,0.061284932819479325,-0.10207628505638028,1.0208333333333335,0.002041666666666667,-0.10411795172304694,-0.04183301890356763
2017-10-31,0.1264271351851106,0.10255712707796234,0.023870008107148247,1.4166666666666665,0.002833333333333333,0.021036674773814913,0.12484380185177725
2018-01-31,-0.009799913834965387,-0.024979903429203643,0.015179989594238255,1.3958333333333335,0.002791666666666667,0.01238832292757159,-0.011216580501632054
2018-04-30,0.08593646958264216,0.04158064250191909,0.04435582708072307,1.3958333333333333,0.0027916666666666667,0.0415641604140564,0.08460313624930882
2018-07-31,-0.057330109175895615,-0.007690015110141104,-0.04964009406575451,1.3673469387755102,0.0027346938775510204,-0.05237478794330553,-0.05871786427793643
2018-10-31,0.06308632466100207,0.02510995209754991,0.03797637256345216,1.4634353741496597,0.0029268707482993195,0.035049501815152845,0.06166965799433541
2019-01-31,0.10695449845617107,0.08592896816753921,0.021025530288631855,1.2708333333333333,0.0025416666666666665,0.018483863621965187,0.10562116512283773
2019-04-30,-0.04579808289683682,0.05782166287150187,-0.10361974576833868,1.1875,0.002375,-0.10599474576833869,-0.04708974956350349
2019-07-31,-0.03116390724995971,0.027541705058978534,-0.05870561230893824,1.2083333333333335,0.0024166666666666672,-0.061122278975604905,-0.03233057391662638
2019-10-31,0.06647593548346882,0.04656133965966914,0.01991459582379968,1.3958333333333335,0.002791666666666667,0.017122929157133013,0.06522593548346882
2020-01-31,-0.15810414822801327,-0.1343278736408786,-0.023776274587134688,1.4693877551020407,0.0029387755102040815,-0.02671505009733877,-0.15965516863617654
2020-04-30,0.08642178269603529,0.1472567592595376,-0.06083497656350231,1.306122448979592,0.002612244897959184,-0.06344722146146149,0.08523810922664753
2020-07-31,0.014766791666250065,0.010307258778812898,0.004459532887437168,1.0816326530612246,0.002163265306122449,0.0022962675813147184,0.013787199829515371
2020-10-31,0.456566504917194,0.08488257648646053,0.3716839284307335,1.1224489795918366,0.0022448979591836735,0.3694390304715498,0.4556277294069899
2021-01-31,0.25823834481700775,0.1458203930767237,0.11241795174028404,1.1224489795918369,0.002244897959183674,0.11017305378110037,0.25725875298027306
2021-04-30,0.0077025611221743055,0.040795272145457244,-0.03309271102328294,1.346938775510204,0.002693877551020408,-0.03578658857430335,0.0059066427548273666
2021-07-31,0.1273589266859107,0.03578854694745559,0.09157037973845511,1.4285714285714286,0.002857142857142857,0.08871323688131225,0.12552219199203316
2021-10-31,0.03013210036769357,-0.000103623166614769,0.030235723534308336,1.183673469387755,0.0023673469387755102,0.027868376595532825,0.028825977918713976
2022-01-31,-0.08195535901679298,0.008521895019016087,-0.09047725403580906,1.346938775510204,0.002693877551020408,-0.09317113158682946,-0.08330229779230318
2022-04-30,-0.010371291858764994,-0.007219031189254814,-0.0031522606695101804,1.2448979591836735,0.002489795918367347,-0.005642056587877527,-0.011432516348560913
2022-07-31,-0.005439096482537017,-0.036645457985948995,0.031206361503411977,1.3673469387755102,0.0027346938775510204,0.028471667625860956,-0.006500320972332936
2022-10-31,0.10385784577440936,0.06469032512753224,0.03916752064687712,1.1632653061224492,0.0023265306122448983,0.03684099003463222,0.10279662128461345
2023-01-31,-0.08199883177058018,-0.013902336264875387,-0.06809649550570479,1.2244897959183674,0.002448979591836735,-0.07054547509754153,-0.08318250523996794
2023-04-30,0.16175315066228452,0.033821738839305684,0.12793141182297885,1.2448979591836735,0.002489795918367347,0.1254416159046115,0.16081437515208044
